MMM;stock_exchange;"NYSE"
MMM;market_cap;61.561B
MMM;200day_moving_avg;89.6486
MMM;52_week_high;95.46
MMM;price_earnings_growth_ratio;1.54
MMM;price_sales_ratio;2.09
MMM;price;88.97
MMM;earnings_per_share;6.256
MMM;50day_moving_avg;92.6823
MMM;avg_daily_volume;2883610
MMM;volume;3053147
MMM;52_week_low;75.49
MMM;short_ratio;2.60
MMM;price_earnings_ratio;14.27
MMM;dividend_yield;2.60
MMM;dividend_per_share;2.32
MMM;price_book_ratio;3.40
MMM;ebitda;7.684B
MMM;change;-0.28
MMM;book_value;26.218
ACE;stock_exchange;"NYSE"
ACE;market_cap;26.329B
ACE;200day_moving_avg;73.6155
ACE;52_week_high;77.85
ACE;price_earnings_growth_ratio;1.45
ACE;price_sales_ratio;1.50
ACE;price;77.50
ACE;earnings_per_share;7.96
ACE;50day_moving_avg;76.295
ACE;avg_daily_volume;1400030
ACE;volume;2188436
ACE;52_week_low;64.09
ACE;short_ratio;1.60
ACE;price_earnings_ratio;9.84
ACE;dividend_yield;1.83
ACE;dividend_per_share;1.43
ACE;price_book_ratio;0.99
ACE;ebitda;3.453B
ACE;change;-0.83
ACE;book_value;79.365
ABT;stock_exchange;"NYSE"
ABT;market_cap;101.9B
ABT;200day_moving_avg;64.1196
ABT;52_week_high;69.99
ABT;price_earnings_growth_ratio;1.39
ABT;price_sales_ratio;2.61
ABT;price;64.96
ABT;earnings_per_share;4.088
ABT;50day_moving_avg;69.0944
ABT;avg_daily_volume;4505170
ABT;volume;6533984
ABT;52_week_low;52.05
ABT;short_ratio;1.50
ABT;price_earnings_ratio;16.01
ABT;dividend_yield;2.29
ABT;dividend_per_share;1.50
ABT;price_book_ratio;4.19
ABT;ebitda;11.446B
ABT;change;-0.49
ABT;book_value;15.603
ANF;stock_exchange;"NYSE"
ANF;market_cap;2.707B
ANF;200day_moving_avg;36.1285
ANF;52_week_high;59.36
ANF;price_earnings_growth_ratio;0.76
ANF;price_sales_ratio;0.64
ANF;price;32.78
ANF;earnings_per_share;1.035
ANF;50day_moving_avg;33.5588
ANF;avg_daily_volume;2611950
ANF;volume;2443305
ANF;52_week_low;28.64
ANF;short_ratio;4.70
ANF;price_earnings_ratio;32.11
ANF;dividend_yield;2.11
ANF;dividend_per_share;0.70
ANF;price_book_ratio;1.62
ANF;ebitda;474.4M
ANF;change;-0.45
ANF;book_value;20.539
ACN;stock_exchange;"NYSE"
ACN;market_cap;50.965B
ACN;200day_moving_avg;61.9263
ACN;52_week_high;71.79
ACN;price_earnings_growth_ratio;1.41
ACN;price_sales_ratio;1.85
ACN;price;67.91
ACN;earnings_per_share;3.842
