MMM;Conglomerates;Conglomerates
ACE;Financial;Property and Casualty Insurance
ABT;Healthcare;Drug Manufacturers - Major
ANF;Services;Apparel Stores
ACN;Technology;Information Technology Services
ADBE;Technology;Application Software
ADT;Services;Security and Protection Services
AMD;Technology;Semiconductor - Broad Line
AES;Utilities;Electric Utilities
AET;Healthcare;Health Care Plans
AFL;Financial;Accident and Health Insurance
A;Technology;Scientific and Technical Instruments
GAS;Utilities;Gas Utilities
APD;Basic Materials;Chemicals - Major Diversified
ARG;Services;Industrial Equipment Wholesale
AKAM;Technology;Internet Information Providers
AA;Basic Materials;Aluminum
ALXN;Healthcare;Biotechnology
ATI;Industrial Goods;Metal Fabrication
AGN;Healthcare;Drug Manufacturers - Other
ALL;Financial;Property and Casualty Insurance
ALTR;Technology;Semiconductor - Specialized
MO;Consumer Goods;Cigarettes
AMZN;Services;Catalog and Mail Order Houses
AEE;Utilities;Diversified Utilities
AEP;Utilities;Electric Utilities
AXP;Financial;Credit Services
AIG;Financial;Property and Casualty Insurance
AMT;Technology;Diversified Communication Services
AMP;Financial;Asset Management
ABC;Services;Drugs Wholesale
AMGN;Healthcare;Biotechnology
APH;Technology;Diversified Electronics
APC;Basic Materials;Independent Oil and Gas
ADI;Technology;Semiconductor - Integrated Circuits
AON;Financial;Insurance Brokers
APA;Basic Materials;Independent Oil and Gas
AIV;Financial;REIT - Residential
APOL;Services;Education and Training Services
AAPL;Technology;Personal Computers
AMAT;Technology;Semiconductor Equipment and Materials
ADM;Consumer Goods;Farm Products
AIZ;Financial;Accident and Health Insurance
T;Technology;Telecom Services - Domestic
ADSK;Technology;Technical and System Software
ADP;Technology;Business Software and Services
AN;Services;Auto Dealerships
AZO;Services;Auto Parts Stores
AVB;Financial;REIT - Residential
AVY;Industrial Goods;Diversified Machinery
AVP;Consumer Goods;Personal Products
BHI;Basic Materials;Oil and Gas Equipment and Services
BLL;Consumer Goods;Packaging and Containers
BAC;Financial;Money Center Banks
BK;Financial;Asset Management
BCR;Healthcare;Medical Instruments and Supplies
BAX;Healthcare;Medical Instruments and Supplies
BBT;Financial;Regional - Mid-Atlantic Banks
BEAM;Consumer Goods;Beverages - Wineries and Distillers
BDX;Healthcare;Medical Instruments and Supplies
BBBY;Services;Home Furnishing Stores
BMS;Consumer Goods;Packaging and Containers
BBY;Services;Electronics Stores
BIG;Services;Discount, Variety Stores
BIIB;Healthcare;Biotechnology
BLK;Financial;Asset Management
HRB;Services;Personal Services
BMC;Technology;Application Software
BA;Industrial Goods;Aerospace/Defense Products and Services
BWA;Consumer Goods;Auto Parts
BXP;Financial;REIT - Office
BSX;Healthcare;Medical Appliances and Equipment
BMY;Healthcare;Drug Manufacturers - Major
BRCM;Technology;Semiconductor - Integrated Circuits
BF-B;Consumer Goods;Beverages - Wineries and Distillers
CHRW;Services;Air Delivery and Freight Services
CA;Technology;Application Software
CVC;Services;CATV Systems
COG;Basic Materials;Independent Oil and Gas
CAM;Basic Materials;Oil and Gas Equipment and Services
CPB;Consumer Goods;Processed and Packaged Goods
COF;Financial;Credit Services
CAH;Services;Drugs Wholesale
CFN;Healthcare;Medical Instruments and Supplies
KMX;Services;Auto Dealerships
CCL;Services;Resorts and Casinos
CAT;Conglomerates;Conglomerates
CBG;Financial;Property Management
CBS;Services;Broadcasting - TV
CELG;Healthcare;Biotechnology
CNP;Utilities;Diversified Utilities
CTL;Technology;Telecom Services - Domestic
CERN;Technology;Healthcare Information Services
CF;Basic Materials;Agricultural Chemicals
SCHW;Financial;Investment Brokerage - National
CHK;Basic Materials;Independent Oil and Gas
CVX;Basic Materials;Major Integrated Oil and Gas
CMG;Services;Restaurants
CB;Financial;Property and Casualty Insurance
CI;Healthcare;Health Care Plans
CINF;Financial;Property and Casualty Insurance
CTAS;Services;Apparel Stores
CSCO;Technology;Networking and Communication Devices
C;Financial;Money Center Banks
CTXS;Technology;Business Software and Services
CLF;Basic Materials;Steel and Iron
CLX;Consumer Goods;Housewares and Accessories
CME;Financial;Investment Brokerage - National
CMS;Utilities;Electric Utilities
COH;Consumer Goods;Textile - Apparel Footwear and Accessories
KO;Consumer Goods;Beverages - Soft Drinks
CCE;Consumer Goods;Beverages - Soft Drinks
CTSH;Technology;Business Software and Services
CL;Consumer Goods;Personal Products
CMCSA;Services;CATV Systems
CMA;Financial;Regional - Midwest Banks
CSC;Technology;Information Technology Services
CAG;Consumer Goods;Processed and Packaged Goods
COP;Basic Materials;Major Integrated Oil and Gas
CNX;Basic Materials;Industrial Metals and Minerals
ED;Utilities;Electric Utilities
STZ;Consumer Goods;Beverages - Wineries and Distillers
CBE;Technology;Diversified Electronics
GLW;Technology;Diversified Electronics
COST;Services;Discount, Variety Stores
CVH;Healthcare;Health Care Plans
COV;Healthcare;Medical Instruments and Supplies
CCI;Technology;Diversified Communication Services
CSX;Services;Railroads
CMI;Industrial Goods;Diversified Machinery
CVS;Services;Drug Stores
DHI;Industrial Goods;Residential Construction
DHR;Industrial Goods;Diversified Machinery
DRI;Services;Restaurants
DVA;Healthcare;Specialized Health Services
DF;Consumer Goods;Dairy Products
DE;Industrial Goods;Farm and Construction Machinery
DELL;Technology;Personal Computers
DNR;Basic Materials;Independent Oil and Gas
XRAY;Healthcare;Medical Instruments and Supplies
DVN;Basic Materials;Independent Oil and Gas
DO;Basic Materials;Oil and Gas Drilling and Exploration
DTV;Services;CATV Systems
DFS;Financial;Credit Services
DISCA;Services;CATV Systems
DLTR;Services;Discount, Variety Stores
D;Utilities;Electric Utilities
RRD;Services;Business Services
DOV;Industrial Goods;Diversified Machinery
DOW;Conglomerates;Conglomerates
DPS;Consumer Goods;Beverages - Soft Drinks
DTE;Utilities;Electric Utilities
DD;Basic Materials;Chemicals - Major Diversified
DUK;Utilities;Electric Utilities
DNB;Technology;Information and Delivery Services
ETFC;Financial;Investment Brokerage - National
EMN;Basic Materials;Chemicals - Major Diversified
ETN;Industrial Goods;Industrial Electrical Equipment
EBAY;Services;Catalog and Mail Order Houses
ECL;Consumer Goods;Cleaning Products
EIX;Utilities;Electric Utilities
EW;Healthcare;Medical Appliances and Equipment
EA;Technology;Multimedia and Graphics Software
EMC;Technology;Data Storage Devices
EMR;Industrial Goods;Industrial Equipment and Components
ESV;Basic Materials;Oil and Gas Drilling and Exploration
ETR;Utilities;Electric Utilities
EOG;Basic Materials;Independent Oil and Gas
EQT;Utilities;Gas Utilities
EFX;Financial;Credit Services
EQR;Financial;REIT - Residential
EL;Consumer Goods;Personal Products
EXC;Utilities;Diversified Utilities
EXPE;Services;Lodging
EXPD;Services;Air Delivery and Freight Services
ESRX;Healthcare;Health Care Plans
XOM;Basic Materials;Major Integrated Oil and Gas
FFIV;Technology;Application Software
FDO;Services;Discount, Variety Stores
FAST;Industrial Goods;General Building Materials
FII;Financial;Asset Management
FDX;Services;Air Delivery and Freight Services
FIS;Services;Business Services
FITB;Financial;Regional - Midwest Banks
FHN;Financial;Regional - Southeast Banks
FSLR;Technology;Semiconductor - Specialized
FE;Utilities;Electric Utilities
FISV;Services;Business Services
FLIR;Industrial Goods;Aerospace/Defense Products and Services
FLS;Industrial Goods;Diversified Machinery
FLR;Industrial Goods;Heavy Construction
FMC;Basic Materials;Chemicals - Major Diversified
FTI;Basic Materials;Oil and Gas Equipment and Services
F;Consumer Goods;Auto Manufacturers - Major
FRX;Healthcare;Drug Manufacturers - Other
FOSL;Consumer Goods;Recreational Goods, Other
BEN;Financial;Asset Management
FCX;Basic Materials;Copper
FTR;Technology;Telecom Services - Domestic
GME;Services;Electronics Stores
GCI;Services;Publishing - Newspapers
GPS;Services;Apparel Stores
GD;Industrial Goods;Aerospace/Defense Products and Services
GE;Industrial Goods;Diversified Machinery
GIS;Consumer Goods;Processed and Packaged Goods
GPC;Services;Auto Parts Wholesale
GNW;Financial;Life Insurance
GILD;Healthcare;Biotechnology
GS;Financial;Diversified Investments
GT;Consumer Goods;Rubber and Plastics
GOOG;Technology;Internet Information Providers
GWW;Services;Industrial Equipment Wholesale
HAL;Basic Materials;Oil and Gas Equipment and Services
HOG;Consumer Goods;Recreational Vehicles
HAR;Consumer Goods;Electronic Equipment
